sample_number,alt_sample_name,sample_name,date,ncbi_name_16s,ncbi_name_18s,bio_rep,fi_best,location,sample_type,latitude,longitude,elevation_m,ysi_temp,ysi_mmhg,ysi_do_percent,ysi_do,ysi_spc,ysi_conductivity,ysi_tds,ysi_ph,ysi_orp,alkalinity_caco3,anions,bicarbonate_hco3,bromide,calcium,carbonate_co3_alkalinity,cations,chloride,fluoride,hardness,iron,magnesium,nitrate_no3,nitrite_no2,orthophosphate,percent_difference,ph,potassium,silicon,sio2,sodium,spc,strontium,sulfate,tds,d2h,d2h_unc,d18o,d18o_unc,notes,dist_from_summit,aspect,bio_data,d13c (of DIC),quadrant,quadrant_ew,region,order,chemistry,geo_symbol,geo1,geo2,geo3,geo4,geo5,unit_notes
10,Near Tilly Jane Rd Spring,Tilly Jane Spring,10/8/16,JM1610_Tilly_Jane_45_or_20,,1,0.61,MH,Spring,45.44380585,-121.5801432,820.5216,5.5,699.5,85.3,1.41,82.5,51.6,53.95,6.67,255,40,1.03,48,,8.08,,0.94,2.48,,30.7,,2.55,0.4,,,-4.65,7,1.82,,44.9,6.39,96,0.055,7.29,98,-98.525226,0.2370064,-13.07112,0.07232059,,11964.2,N,1,,NE,East,Eliot Region,10,1,Taef,Andesite of East Fork,Dalles Group,Deschutes Formation,Miocene/Pliocene,andesite,
10,Near Tilly Jane Rd Spring,Tilly Jane Spring,10/8/16,JM1611_Tilly_Jane_45_or_20,,2,0.61,MH,Spring,45.44380585,-121.5801432,820.5216,5.5,699.5,85.3,1.41,82.5,51.6,53.95,6.67,255,40,1.03,48,,8.08,,0.94,2.48,,30.7,,2.55,0.4,,,-4.65,7,1.82,,44.9,6.39,96,0.055,7.29,98,-98.525226,0.2370064,-13.07112,0.07232059,,11964.2,N,1,,NE,East,Eliot Region,10,1,Taef,Andesite of East Fork,Dalles Group,Deschutes Formation,Miocene/Pliocene,andesite,
23,Coe Spring B,Coe Spring B,7/26/17,JM1728_Coe_Spring_B,JM1728_Coe_Spring_B,0,0.11,MH,Spring,45.45241077,-121.6529396,939.39,7.4,694.1,86.8,10.3,60.1,39.7,39,6.89,251.7,34,0.72,42,0.023,5.66,0,0.62,0.989,0.141,,,1.19,0.042,0.012,0.049,-7.43,7.2,1.91,23.3,49.8,4.47,66,0.059,0.233,85,-81.3,0.04,-11.33,0,Fou a spring just above the discharge center/structure. Small flow a possibly connect to the stream we prevously sampled. Comes from a hole a there are other holes arou where it looks like flow used to emerge from as well. Lots of thorny shrubs. Lots of down trees. Right alongside the Coe River,9385.2,N,1,,NE,East,Coe Region,23,1,Qget,Till of Evans Creek age,Quaternary surficial deposits,Glacial deposits,Quaternary,mixed grained sediments,
77,Eliot Terminus Downstream ,Eliot091919A,9/19/19,MtH8_D06_S315,,0,0.69,MH,Stream,45.39547956,-121.6607579,1877.8728,1.8,608.8,100.6,11.17,59.9,33.4,,7.72,305.1,14,0.63,17,,4.89,,0.54,,0.11,20.1,0.027,1.92,,,,-7.92,6.7,0.46,6.03,12.9,2.85,62,0.022,16.4,48,-99.3,0.75,-13.861,0.121,Hiked in on Eliot Glacier Trail rather than taking Cooper Spur. Dropped down into Eliot Catchment. This is the first stream sample from the farthest point down catchment.,3678.5,,1,,NE,East,Eliot Region,77,1,Qgnt,Till of neoglacial age,Quaternary surficial deposits,Glacial deposits,Quaternary,mixed grained sediments,
78,Eliot Terminus Center Subglacial Melt,Eliot091919B,9/19/19,MtH10_C08_S258,MtH16_E01,0,0.75,MH,Glacial Melt,45.39366983,-121.6630236,1890.0648,1,607.1,97,11.15,54.9,29.7,,7.54,276,12,0.58,15,,4.23,,0.47,0.081,,17.5,,1.68,,,,-10.62,6.7,0.416,5.3,11.3,2.45,53,0.018,13.9,43,-98.74,0.65,-13.81,0.147,"Stream emerging from center of hummocky terrain that I believe is the terminus of the debris part of Eliot. Extremely steep walls surrouing ""subglacial"" flow. There is a small snowpack with algae on it right above the emergence. For safety purposes, we sampled the subglacial flow slightly downstream. Lots of long stringy brown/green algae in the stream.",3412.6,,1,,NE,East,Glacial Ice,78,1,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
65,Sherwood Camp Spring,Sherwood Camp Spring,9/16/19,MtH24_D11_S288,,0,0.58,MH,Spring,45.39485075,-121.5702804,965.9112,6.1,675.9,77.3,8.51,53.7,34.3,,6.56,297.3,,,,,,,,,,,,,,,,,,,,,,,,,,-91.18,0.7,-12.151,0.13,Spring looked the same as last year.,10125.4,,1,-14.2,NE,East,Outlier,65,0,Qal,Alluvium,Quaternary surficial deposits,Alluvial deposits,Holocene,mixed grained sediments,
24,Coe Spring Run,Coe Spring Run,7/26/17,JM1710_Coe_Spring_Run,JM1710_Coe_Spring_Run,0,0.14,MH,Stream,45.44388918,-121.6585131,997.92,8.2,688.7,87,10.26,40.4,27.4,26,6.83,214.2,23,0.51,29,0.002,3.83,0,0.43,0.898,0.03,,,0.75,0.023,0.013,0.053,-8.38,7.1,1.2,16.5,35.3,3.36,44,0.042,0.549,60,-85.6,0.14,-11.66,0.27,"Tried to fi GPS coordinates, no luck. Decided to sample in the stream instead because we couldn't fi the source. Flow is high a water is clear. Lots of thick vegetation.",8345,N,1,,NE,East,Coe Region,24,1,Qal,Alluvium,Quaternary surficial deposits,Alluvial deposits,Holocene,mixed grained sediments,
82,Eliot Terminus Right Subglacial Melt,Eliot091919F,9/19/19,MtH6_C04_S310,MtH6_D03,0,0.84,MH,Glacial Melt,45.39450054,-121.6640133,1898.5992,0,607.2,98.9,11.54,38.4,20,,6.15,320.8,6,0.45,7,,4.16,,0.31,0.081,0.1,13.7,,0.802,,,,-18.17,5.9,0.317,3.37,7.22,0.613,40,0.015,14.6,32,-95.15,0.55,-13.079,0.171,This stream is much more murkey/darker brown in color. Subglacial melt. Ice actively melting into stream.,3416.4,,1,-22,NE,East,Glacial Ice,82,1,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
80,Eliot Terminus Left Subglacial Melt,Eliot091919D,9/19/19,MtH15_D02_S268,,0,0.9,MH,Glacial Melt,45.39351658,-121.6622351,1895.2464,0.7,607.2,96.3,11.03,36.4,19.5,,6.67,314.1,12,0.52,14,,3.79,,0.41,0.081,,15.5,0.053,1.47,,,,-11.23,6.7,0.379,4.81,10.3,2.15,46,0.017,12.1,38,-98.77,0.48,-13.792,0.16,On left side of catchment there was an exposure of ice melting into a pool a forming a stream. It was dirty a the ice looked cracked. It looked like it was ice stuck into the side of the moraine a melting out. Active ice a rock falling into pool. Very saturated sediment arou the pool.,3448.6,,1,-14.6,NE,East,Glacial Ice,80,1,Qgnt,Till of neoglacial age,Quaternary surficial deposits,Glacial deposits,Quaternary,mixed grained sediments,
29,Hungry Horse Spring,Hungry Horse Spring,7/30/18,,,,0.5,GNP,Spring,48.38576583,-114.1024256,933.3,8.2,692.6,89,10.47,421.5,286.7,274.3,7.45,102.3,146,3.15,178,,35.3,,3.11,,,151,,15.3,,,,-0.71,8.1,0.448,3.94,8.43,1.68,284,0.044,10.6,161,-127.12,0.81,-16.94,0.08,Collected 1L a 250mL. Was told about this spring from multiple NPS people. They drink straight from it a it runs year rou. It has been piped for easy access. We sampled from the source at the rock face.,,,0,,,,Outlier,118,1,Ys,Spokane Formation,,,,,"thickness ranges from 750 m in most of park to a maximum of about 1,030 m in southwestern part; generally subdivisible into three parts at most exposures in park"
