Location,Env_Variable_TableS1,Env_Variable,Rep,Rsquared,RSME,MAE,Ct <5 Unique Values,Truncated_Grid,Notes
Mount Hood,elevation_m,Elevation,1,0.002209795,392.1919437,329.7635923,30,,
Mount Hood,elevation_m,Elevation,2,0.000163038,385.4197736,334.2290599,39,,
Mount Hood,elevation_m,Elevation,3,0.003799192,384.5507247,338.3251306,36,,
Mount Hood,ysi_temp,Temp,1,0.160076082,4.309776417,3.81186694,>=50,,
Mount Hood,ysi_temp,Temp,2,0.141716846,4.359283088,3.715947622,>=50,,
Mount Hood,ysi_temp,Temp,3,0.199803924,4.337724897,3.846397007,49,,
Mount Hood,ysi_do,DO,1,0.198120515,1.738711555,1.486277524,36,,
Mount Hood,ysi_do,DO,2,0.319847798,1.727657443,1.481035917,37,,
Mount Hood,ysi_do,DO,3,0.335534724,1.612444726,1.299272126,38,,
Mount Hood,ysi_spc,SPC,1,0.166484632,20.70483079,17.18859597,26,,
Mount Hood,ysi_spc,SPC,2,0.159271509,21.57029142,18.24061118,15,,
Mount Hood,ysi_spc,SPC,3,0.179044928,21.10643289,18.32150475,45,,
Mount Hood,ysi_ph,pH,1,0.15411825,0.34873705,0.294463686,33,,
Mount Hood,ysi_ph,pH,2,0.225997496,0.341700663,0.272893593,48,,
Mount Hood,ysi_ph,pH,3,0.119743925,0.334235487,0.260413876,33,,
Mount Hood,ysi_orp,ORP,1,0.495559435,33.1336805,27.92150123,27,,
Mount Hood,ysi_orp,ORP,2,0.43794202,31.1626634,24.97208068,24,,
Mount Hood,ysi_orp,ORP,3,0.668485096,31.16802497,25.94808197,>=50,,
Mount Hood,alkalinity_caco3,CaCO3,1,0.036557207,8.762608501,7.622306837,31,,
Mount Hood,alkalinity_caco3,CaCO3,2,0.000689353,8.181031529,7.258353876,>=50,,
Mount Hood,alkalinity_caco3,CaCO3,3,0.113066055,9.183864814,7.808755434,34,,
Mount Hood,bicarbonate_hco3,HCO3,1,0.035091766,11.08257524,10.09432259,27,,
Mount Hood,bicarbonate_hco3,HCO3,2,0.16496865,12.03832892,11.11283986,12,,
Mount Hood,bicarbonate_hco3,HCO3,3,0.16452561,12.40547421,11.2000852,28,,
Mount Hood,calcium,Ca,1,0.074456994,1.607126098,1.405287566,>=50,,
Mount Hood,calcium,Ca,2,0.03950048,1.582076134,1.406048492,>=50,,
Mount Hood,calcium,Ca,3,0.022370621,1.572710179,1.414365217,49,,
Mount Hood,chloride,Cl,1,0.013452722,3.166133615,1.95469425,36,,
Mount Hood,chloride,Cl,2,0.284952124,3.494106489,2.382496471,18,,
Mount Hood,chloride,Cl,3,0.000680365,3.122538793,1.859606818,15,,
Mount Hood,magnesium,Mg,1,0.059328405,0.605845438,0.471173022,40,,
Mount Hood,magnesium,Mg,2,0.084322276,0.617065614,0.474152236,26,,
Mount Hood,magnesium,Mg,3,0.070399412,0.623736043,0.484816624,27,,
Mount Hood,potassium,K,1,0.473420772,0.595291925,0.506900833,>=50,,
Mount Hood,potassium,K,2,0.319568443,0.581177821,0.487096059,>=50,,
Mount Hood,potassium,K,3,0.496337593,0.611900701,0.515447688,>=50,,
Mount Hood,sio2,SiO2,1,0.435367014,10.71418159,8.424750689,27,,
Mount Hood,sio2,SiO2,2,0.547997035,10.83886135,8.16816172,39,,
Mount Hood,sio2,SiO2,3,0.364069653,10.53208671,7.947401282,22,,
Mount Hood,sodium,Na,1,0.134093518,1.23491998,0.955093874,21,,
Mount Hood,sodium,Na,2,0.053863005,1.168413342,0.86417651,21,,
Mount Hood,sodium,Na,3,0.076460318,1.162444096,0.887721526,21,,
Mount Hood,strontium,Sr,1,0.013146971,0.018754092,0.016661584,49,,
Mount Hood,strontium,Sr,2,0.004353941,0.018727228,0.016376489,13,,
Mount Hood,strontium,Sr,3,0.01372659,0.018639574,0.01677267,26,,
Mount Hood,sulfate,SO4,1,0.00063504,0.999735218,0.806656115,21,,
Mount Hood,sulfate,SO4,2,0.016230373,0.969385437,0.741987485,43,,
Mount Hood,sulfate,SO4,3,9.93E-05,1.016575695,0.768423184,42,,
Mount Hood,tds,TDS,1,0.237581492,17.0083092,13.24350718,>=50,,
Mount Hood,tds,TDS,2,0.197087128,16.96302042,13.45152923,>=50,,
