"","Site","Mean_Distance","SD_Distance","N_Pairs"
"1","Buzzard Fountain Spring",0.517137119084996,NA,1
"2","Choss Seep",0.499561211135972,NA,1
"3","Grinnell Spring",0.808792010002644,NA,1
"4","James Spring",0.484165716837979,NA,1
"5","Lunch Creek Spring",0.782153686217167,NA,1
"6","Mineral Creek Tributary",0.702648235569147,NA,1
"7","Mountain Goat Spring",0.643205554377384,NA,1
"8","Palmer B Spring",0.910000821151375,NA,1
"9","Palmer Seep",0.684102319763315,NA,1
"10","Paradise Park Spring",0.774732253793485,0.0516608558027678,3
"11","Piegan North Spring",0.788508667008939,NA,1
"12","Piegan Spring",0.789460455038601,0.0965862981166749,3
