USGS Site No.,Site Name,Date,Precipitation Type,UTM Zone,UTM Easting (m),UTM Northing (m),Elevation (m),d2H (‰),d18O (‰)
4.84E+14,"SNYDER LAKE SNOW SITE, MT",3/31/93,Bulk deposition,12 U,292882.23,5389089.27,1599.29,-151,-20.3
4.84E+14,"SNYDER LAKE SNOW SITE, MT",3/24/99,Bulk deposition,12 U,292882.23,5389089.27,1599.29,-149,-19.4
4.84E+14,"SNYDER LAKE SNOW SITE, MT",3/28/99,Bulk deposition,12 U,292882.23,5389089.27,1599.29,-143,-18.5
4.84E+14,"SNYDER LAKE SNOW SITE, MT",3/29/99,Bulk deposition,12 U,292882.23,5389089.27,1599.29,-144,-18.8
4.84E+14,"SNYDER LAKE SNOW SITE, MT",3/30/99,Bulk deposition,12 U,292882.23,5389089.27,1599.29,-145,-19.1
4.84E+14,"SNYDER LAKE SNOW SITE, MT",4/1/99,Bulk deposition,12 U,292882.23,5389089.27,1599.29,-143,-18.3
4.84E+14,"SNYDER LAKE SNOW SITE, MT",3/21/00,Bulk deposition,12 U,292882.23,5389089.27,1599.29,-143,-19.1
4.84E+14,"SNYDER LAKE SNOW SITE, MT",3/21/00,Bulk deposition,12 U,292882.23,5389089.27,1599.29,-142,-19
4.84E+14,"SNYDER LAKE SNOW SITE, MT",3/21/00,Bulk deposition,12 U,292882.23,5389089.27,1599.29,-140,-19.1
4.84E+14,"SNYDER LAKE SNOW SITE, MT",3/8/01,Bulk deposition,12 U,292882.23,5389089.27,1599.29,-138,-18.2
4.84E+14,"SNYDER LAKE SNOW SITE, MT",3/9/01,Bulk deposition,12 U,292882.23,5389089.27,1599.29,-141,-18.5
4.84E+14,"SNYDER LAKE SNOW SITE, MT",3/15/03,Bulk deposition,12 U,292882.23,5389089.27,1599.29,-133,-17.2
4.84E+14,"SNYDER LAKE SNOW SITE, MT",3/23/05,Bulk deposition,12 U,292882.23,5389089.27,1599.29,-141,-18.3
4.84E+14,"SNYDER LAKE SNOW SITE, MT",4/23/14,Bulk deposition,12 U,292882.23,5389089.27,1599.29,-136,-18.12
4.85E+14,"W9 (GLACIER NP) SNOW SITE, MT",3/22/00,Bulk deposition,12 U,294592.26,5404978.32,1693.47,-132,-18.1
4.85E+14,"W9 (GLACIER NP) SNOW SITE, MT",3/22/00,Bulk deposition,12 U,294592.26,5404978.32,1693.47,-132,-18.1
4.85E+14,"W9 (GLACIER NP) SNOW SITE, MT",3/23/00,Bulk deposition,12 U,294592.26,5404978.32,1693.47,-138,-18.6
4.85E+14,"W9 (GLACIER NP) SNOW SITE, MT",3/8/01,Bulk deposition,12 U,294592.26,5404978.32,1693.47,-154,-20.4
4.85E+14,"W9 (GLACIER NP) SNOW SITE, MT",3/8/01,Bulk deposition,12 U,294592.26,5404978.32,1693.47,-138,-18.4
4.85E+14,"W9 (GLACIER NP) SNOW SITE, MT",3/9/01,Bulk deposition,12 U,294592.26,5404978.32,1693.47,-141,-18.7
4.85E+14,"W9 (GLACIER NP) SNOW SITE, MT",3/10/01,Bulk deposition,12 U,294592.26,5404978.32,1693.47,-137,-18.3
4.85E+14,"W9 (GLACIER NP) SNOW SITE, MT",3/10/01,Bulk deposition,12 U,294592.26,5404978.32,1693.47,-145,-19.4
4.85E+14,"W9 (GLACIER NP) SNOW SITE, MT",3/13/01,Bulk deposition,12 U,294592.26,5404978.32,1693.47,-154,-20.1
4.85E+14,"W9 (GLACIER NP) SNOW SITE, MT",3/13/01,Bulk deposition,12 U,294592.26,5404978.32,1693.47,-156,-20.3
4.85E+14,"W9 (GLACIER NP) SNOW SITE, MT",3/13/01,Bulk deposition,12 U,294592.26,5404978.32,1693.47,-149,-19.7
4.85E+14,"W9 (GLACIER NP) SNOW SITE, MT",3/13/02,Bulk deposition,12 U,294592.26,5404978.32,1693.47,-136,-18.3
4.85E+14,"W9 (GLACIER NP) SNOW SITE, MT",3/19/02,Bulk deposition,12 U,294592.26,5404978.32,1693.47,-146,-19.3
4.85E+14,"W9 (GLACIER NP) SNOW SITE, MT",3/25/05,Bulk deposition,12 U,294592.26,5404978.32,1693.47,-134,-18
4.85E+14,"BOWMAN 1 SNOW SITE, MT",3/8/01,Bulk deposition,11U,706308.5,5416542.94,1540.46,-154,-20.4
4.85E+14,"BOWMAN 2 SNOW SITE, MT",3/8/01,Bulk deposition,11U,706732.03,5418320.84,2070.51,-138,-18.4
4.84E+14,"E1 (GLACIER NP) SNOW SITE, MT",3/24/99,Bulk deposition,12 U,314425.66,5396712.9,1392.63,-149,-19.4
4.84E+14,"E2 (GLACIER NP) SNOW SITE, MT",4/1/99,Bulk deposition,12 U,309393.1,5394934.39,1470.66,-143,-18.3
4.84E+14,"E4 (GLACIER NP) SNOW SITE, MT",3/29/99,Bulk deposition,12 U,303838.56,5395898.59,1474.62,-144,-18.8
4.84E+14,"E4 (GLACIER NP) SNOW SITE, MT",3/21/00,Bulk deposition,12 U,303838.56,5395898.59,1474.62,-143,-19.1
4.84E+14,"E3 (GLACIER NP) SNOW SITE, MT",3/28/99,Bulk deposition,12 U,305373,5394701.46,1524.61,-143,-18.5
4.84E+14,"E6 (GLACIER NP) SNOW SITE, MT",3/21/00,Bulk deposition,12 U,304386.2,5396343.12,1918.41,-142,-19
4.84E+14,"E5 (GLACIER NP) SNOW SITE, MT",3/30/99,Bulk deposition,12 U,304953.04,5398518.05,2142.44,-145,-19.1
4.84E+14,"E5 (GLACIER NP) SNOW SITE, MT",3/21/00,Bulk deposition,12 U,304953.04,5398518.05,2142.44,-140,-19.1
4.84E+14,"E5 (GLACIER NP) SNOW SITE, MT",3/23/05,Bulk deposition,12 U,304953.04,5398518.05,2142.44,-141,-18.3
4.85E+14,"GRANITE PARK SNOW SITE, MT",3/10/01,Bulk deposition,12 U,296458.38,5405713.88,2005.58,-137,-18.3
4.85E+14,"GRANITE PARK SNOW SITE, MT",3/13/02,Bulk deposition,12 U,296458.38,5405713.88,2005.58,-136,-18.3
4.85E+14,"GRANITE PARK SNOW SITE, MT",3/25/05,Bulk deposition,12 U,296458.38,5405713.88,2005.58,-134,-18
4.85E+14,"SWIFTCURRENT 1 (GLACIER NP) SNOW SITE, MT",3/13/01,Bulk deposition,12 U,302775.19,5408115.1,1541.98,-154,-20.1
4.85E+14,"SWIFTCURRENT 1 (GLACIER NP) SNOW SITE, MT",3/19/02,Bulk deposition,12 U,302775.19,5408115.1,1541.98,-146,-19.3
4.85E+14,"SWIFTCURRENT 2 (GLACIER NP) SNOW SITE, MT",3/13/01,Bulk deposition,12 U,303344.16,5408033.23,1529.79,-156,-20.3
4.85E+14,"SWIFTCURRENT 2 (GLACIER NP) SNOW SITE, MT",3/13/01,Bulk deposition,12 U,303344.16,5408033.23,1529.79,-149,-19.7
4.84E+14,"W2 (GLACIER NP) SNOW SITE, MT",3/8/01,Bulk deposition,12 U,296699.76,5400542.47,1112.82,-138,-18.2
4.84E+14,"W5 (GLACIER NP) SNOW SITE, MT",3/9/01,Bulk deposition,12 U,295713.07,5402649.62,1111.61,-141,-18.5
4.85E+14,"W6 (GLACIER NP) SNOW SITE, MT",3/22/00,Bulk deposition,12 U,296734.89,5406012.97,2129.33,-132,-18.1
4.85E+14,"W7 (GLACIER NP) SNOW SITE, MT",3/22/00,Bulk deposition,12 U,296971.7,5406344.42,2191.51,-132,-18.1
4.85E+14,"W7 (GLACIER NP) SNOW SITE, MT",3/10/01,Bulk deposition,12 U,296971.7,5406344.42,2191.51,-145,-19.4
