Sample Number,Site Name,Date (mm/dd/yy),Site,UTM Zone,UTM Easting (m),UTM Northing (m),Elevation (m.a.s.l.),Sample Type,d2H (ä),d18O (ä),Bio Data
1,Bell Spring,10/10/16,MH,10T,617367,5010795,1259.74,SP,-95.04,-13.31,X
2,Eliot Glacier Snow Algae,10/9/16,MH,10T,604035,5026613,2128.42,SA,-77.25,-10.74,X
3,Eliot Spring,10/8/16,MH,10T,604995,5027560,1921.15,SP,-98.41,-13.38,X
4,Eliot Glacier Glacial Ice,7/30/16,MH,10T,604035,5026639,2119.88,GI,-106.22,-14.22,
5,Eliot Glacier Subglacial Melt,7/31/16,MH,10T,604028,5026644,2118.97,GM,-99.9,-12.85,
6,Eliot Spring,7/31/16,MH,10T,604995,5027560,1921.15,SP,-101.64,-13.1,
7,Camp Windy Spring,10/10/16,MH,10T,611055,5016142,1667.26,SP,-84.75,-12.17,X
8,Johns Mill Spring,10/9/16,MH,10T,618606,5039685,1157.63,SP,-92.81,-12.58,
9,NF 3540 Spring,10/10/16,MH,10T,609130,5017612,1341.12,SP,-77.26,-11.14,X
10,Tilly Jane Spring,10/8/16,MH,10T,611039,5033234,820.52,SP,-98.53,-13.07,X
11,Palmer B Spring,10/9/16,MH,10T,605784,5023068,1677.01,SP,-96.92,-13.63,X
12,Coe Stream,10/9/16,MH,10T,605396,5034210,911.35,ST,-84.38,-11.68,X
13,Eliot Glacier Snowpack Algae,7/28/17,MH,10T,605047,5027128,1995.22,SA,-97.6,-13.75,X
14,Eliot Glacier Fresh Snow Upper,7/22/17,MH,10T,604140,5026611,2123.85,SN,-89.9,-12.53,X
15,Eliot Glacier Fresh Snow Lower,7/22/17,MH,10T,604140,5026611,2123.85,SN,-96.1,-12.84,
16,Eliot Glacier Subglacial Melt,7/22/17,MH,10T,604238,5027062,2046.43,GM,-102.9,-14.3,
17,Eliot Glacier Snowpack,7/22/17,MH,10T,605047,5027128,1995.22,SN,-90.4,-12.07,X
18,Bell Spring,7/26/17,MH,10T,617367,5010795,1259.74,SP,-94.6,-13.09,X
19,Buzzard Fountain Spring,7/26/17,MH,10T,602483,5014601,1245.41,SP,-83.9,-12.04,X
20,Camp Creek Spring,7/27/17,MH,10T,598937,5018636,1369.47,SP,-85,-12.01,X
21,Camp Windy Spring,7/24/17,MH,10T,611057,5016148,1667.26,SP,-83.3,-11.99,X
22,Choss Seep,7/26/17,MH,10T,599257,5016522,1178.97,SP,-79.3,-11.44,X
23,Coe Spring B,7/26/17,MH,10T,605330,5034092,939.39,SP,-81.3,-11.33,X
24,Coe Spring Run,7/26/17,MH,10T,604910,5033138,997.92,ST,-85.6,-11.66,X
25,Crystal Spring,7/28/17,MH,10T,610615,5034934,743.71,SP,-92.7,-12.73,
26,Eliot Moraine Seep,7/22/17,MH,10T,605515,5027495,1805.94,SP,-100.4,-13.77,
27,Eliot Spring,7/22/17,MH,10T,604995,5027560,1921.15,SP,-101.3,-13.98,
28,James Spring,7/25/17,MH,10T,583021,5021260,547.73,SP,-68.9,-9.9,X
