Sample Number,Site,fi best,mean fi,stdev fi,fs best,mean fs,stdev fs,fr best,mean fr,stdev fr,fi > 0.60
1,MH,0.65,0.66,0.11,0.16,0.22,0.15,0.2,0.12,0.08,X
2,MH,0.09,0.11,0.08,0.77,0.31,0.21,0.14,0.58,0.18,
3,MH,0.8,0.72,0.1,0.04,0.18,0.12,0.16,0.1,0.07,X
4,MH,0.86,0.91,0.05,0.05,0.06,0.05,0.09,0.04,0.03,X
5,MH,0.64,0.65,0.11,0.31,0.22,0.15,0.05,0.12,0.09,X
6,MH,0.67,0.73,0.1,0.25,0.17,0.12,0.08,0.1,0.07,X
7,MH,0.32,0.3,0.13,0.43,0.4,0.24,0.25,0.3,0.16,
8,MH,0.58,0.49,0.13,0.13,0.32,0.2,0.29,0.19,0.12,
9,MH,0.07,0.13,0.09,0.08,0.34,0.22,0.85,0.53,0.18,
10,MH,0.61,0.67,0.11,0.31,0.21,0.14,0.08,0.12,0.08,X
11,MH,0.72,0.74,0.1,0.15,0.16,0.12,0.13,0.09,0.07,X
12,MH,0.26,0.23,0.12,0.23,0.42,0.24,0.51,0.35,0.17,
13,MH,0.74,0.77,0.1,0.24,0.14,0.11,0.02,0.08,0.06,X
14,MH,0.19,0.43,0.13,0.65,0.35,0.21,0.16,0.22,0.13,
15,MH,0.63,0.59,0.12,0.26,0.26,0.17,0.11,0.15,0.1,X
16,MH,0.92,0.89,0.06,0.01,0.07,0.06,0.07,0.04,0.03,X
17,MH,0.36,0.36,0.13,0.3,0.39,0.23,0.34,0.25,0.15,
18,MH,0.64,0.61,0.12,0.36,0.25,0.16,0,0.14,0.09,X
19,MH,0.5,0.27,0.13,0.06,0.41,0.24,0.44,0.33,0.16,
20,MH,0.39,0.28,0.13,0.13,0.41,0.24,0.47,0.31,0.16,
21,MH,0.3,0.25,0.13,0.39,0.41,0.24,0.3,0.34,0.17,
22,MH,0.32,0.16,0.1,0.02,0.38,0.23,0.67,0.46,0.18,
23,MH,0.11,0.17,0.11,0.2,0.39,0.24,0.69,0.44,0.18,
24,MH,0.14,0.24,0.12,0.86,0.42,0.24,0,0.34,0.17,
25,MH,0.71,0.52,0.13,0.25,0.3,0.19,0.05,0.18,0.11,X
26,MH,0.83,0.81,0.08,0.14,0.12,0.09,0.03,0.07,0.05,X
27,MH,0.78,0.85,0.07,0.21,0.1,0.08,0,0.06,0.04,X
28,MH,0.04,0.06,0.05,0.1,0.14,0.11,0.86,0.79,0.11,
29,MH,0.28,0.18,0.11,0.57,0.39,0.24,0.14,0.43,0.18,
30,MH,0.5,0.52,0.13,0.43,0.3,0.19,0.07,0.18,0.11,
31,MH,0.28,0.32,0.13,0.27,0.4,0.23,0.45,0.28,0.15,
32,MH,0.57,0.61,0.12,0.29,0.25,0.16,0.14,0.14,0.09,
33,MH,0.41,0.74,0.1,0.55,0.17,0.12,0.04,0.1,0.07,
