Level,Springs/Streams Only (MH),Springs/Streams Only (GNP),End Members Only (MH),End Members Only (GNP)
Phylum,'Bacteria_unclassified','Thaumarchaeota','Aquificae',N/A
Phylum,'Cyanobacteria','Bacteria_unclassified',,
Phylum,'Thaumarchaeota','Actinobacteria',,
Phylum,'Aquificae',,,
Class,'Bacteria_unclassified','Nitrososphaeria','Aquificae',
Class,'Oxyphotobacteria','Bacteria_unclassified',,
Class,'Nitrososphaeria','Actinobacteria',,
Class,'Aquificae',,,
Order,'Bacteria_unclassified','Nitrosopumilales','Aquificales',
Order,'Nostocales','Nostocales','Pseudomonadales',
Order,'Nitrosopumilales','Cytophagales',,
Order,'Aquificales','Bacteria_unclassified',,
Order,'Pseudomonadales','Micrococcales',,
Order,,'Caulobacterales',,
Order,,'Leptolyngbyales',,
Family,'Spirosomaceae','Nitrosopumilaceae','Aquificaceae',
Family,'Bacteria_unclassified','Phormidiaceae','Pseudomonadaceae',
Family,'Nostocaceae','Spirosomaceae',,
Family,'Nitrosopumilaceae','Bacteria_unclassified',,
Family,'Aquificaceae','Microbacteriaceae',,
Family,'Pseudomonadaceae','Caulobacteraceae',,
Family,,'Leptolyngbyaceae',,
Genus,'Solitalea','Candidatus_Nitrosoarchaeum','Undibacterium',
Genus,'Arcicella','Tychonema_CCAP_1459-11B','Thermocrinis',
Genus,'Bacteria_unclassified','Arcicella','Pseudomonas',
Genus,'Mucilaginibacter','Sphingomonadaceae_unclassified',,
Genus,'Aphanizomenon_NIES81','Pseudorhodobacter',,
Genus,'Nitrosopumilaceae_ge','Bacteria_unclassified',,
Genus,'Pseudorhodobacter','Microbacteriaceae_unclassified',,
Genus,'Tabrizicola','Sphingorhabdus',,
Genus,'Thermocrinis','AAP99',,
Genus,'Pseudomonas','Brevundimonas',,
Genus,,'uncultured',,
