Level,"Springs/Streams Only, Glacial Recharge (MH)","Springs/Streams Only, Glacial Recharge (GNP)","End Members Only, Glacial Recharge (MH)","End Members Only, Glacial Recharge (GNP)"
Phylum,*'Aquificae','Chlamydiae',*'Aquificae',N/A
Phylum,'Archaea_unclassified','Cyanobacteria','Crenarchaeota',
Phylum,'Euryarchaeota','Deinococcus-Thermus','Epsilonbacteraeota',
Phylum,'Kiritimatiellaeota','Nanoarchaeaeota','Euryarchaeota',
Phylum,'Zixibacteria','Tenericutes','Thermotogae',
Class,*'Aquificae','ABY1','Anaerolineae',
Class,'Archaea_unclassified','Bacteroidetes_unclassified',*'Aquificae',
Class,'Erysipelotrichia','Chlamydiae','Bacilli',
Class,'Kiritimatiellae','Deinococci','Chloroflexia',
Class,'Lineage_IIb','Gracilibacteria','Crenarchaeota_Incertae_Sedis',
Class,'Lineage_IIc','Latescibacteria','Desulfurellia',
Class,'Patescibacteria_unclassified','MB-A2-108','JG30-KF-CM66',
Class,'Subgroup_5','Microgenomatia','Methanomicrobia',
Class,'Zixibacteria_cl','Mollicutes','Parcubacteria',
Class,,'Oxyphotobacteria','Thermoplasmata',
Class,,'Saccharimonadia','Thermotogae',
Class,,'Woesearchaeia',,
Order,*'Acidithiobacillales','Acetobacterales',*'Acidithiobacillales',
Order,'Anaerolineales','Bacteroidia_unclassified','Aquificales',
Order,'Babeliales','Caulobacterales','Chloroflexales',
Order,'Bacillales','Chthoniobacterales','Hydrogenothermales',
Order,'Bacteroidales','Clostridiales','Nostocales',
Order,'Candidatus_Woykebacteria','Deinococcales','Oxyphotobacteria_unclassified',
Order,'Chlamydiales','Elsterales','Pseudomonadales',
Order,'Desulfobacterales','Leptolyngbyales',*'Thermales',
Order,'Erysipelotrichales','Micrococcales','Thermoplasmatales',
Order,'Gammaproteobacteria_unclassified','Nostocales',,
Order,'Lineage_IIb_or','Oxyphotobacteria_Incertae_Sedis',,
Order,'Nitrosopumilales','Oxyphotobacteria_unclassified',,
Order,'Nitrososphaerales','Parcubacteria_unclassified',,
Order,'Propionibacteriales','Pedosphaerales',,
Order,'Rhodobacterales','Proteobacteria_unclassified',,
Order,'SBR1031','Pseudomonadales',,
Order,*'Thermales','Solibacterales',,
Order,'Verrucomicrobiales','Verrucomicrobiales',,
Order,'Woesearchaeia_or',,,
Family,'AKYH767','Acetobacteraceae',*'Acidithiobacillaceae',
Family,*'Acidithiobacillaceae','Bacteroidia_unclassified','Aquificaceae',
Family,'Anaerolineaceae','Betaproteobacteriales_unclassified','BSLdp215',
Family,'Bacteroidaceae','Caulobacteraceae','Hydrogenobaculaceae',
Family,'Candidatus_Woykebacteria_fa','Chthoniobacteraceae','Hydrogenothermaceae',
Family,'Chlamydiales_unclassified','Clostridiaceae_1','Methylophilaceae',
Family,'Desulfobacteraceae','Cytophagales_unclassified','Nostocaceae',
Family,'Erysipelotrichaceae','Deinococcaceae','Oxyphotobacteria_unclassified',
Family,'Gammaproteobacteria_unclassified','Elsteraceae',*'Pseudomonadaceae',
Family,'Hymenobacteraceae','Hymenobacteraceae','Roseiflexaceae',
Family,'Hyphomicrobiaceae','Leptolyngbyaceae',*'Thermaceae',
Family,'Lineage_IIb_fa','Methylophilaceae','env.OPS_17',
Family,'Nitrosopumilaceae','Moraxellaceae',,
Family,'Nitrososphaeraceae','Oxyphotobacteria_unclassified',,
Family,'Planococcaceae','Parcubacteria_unclassified',,
Family,'Propionibacteriaceae','Pedosphaeraceae',,
Family,*'Pseudomonadaceae','Phormidiaceae',,
Family,'Rhodobacteraceae','Proteobacteria_unclassified',,
Family,'Rubritaleaceae','Rubritaleaceae',,
Family,'SBR1031_fa','Saprospiraceae',,
Family,'Sandaracinaceae','Solibacteraceae_(Subgroup_3)',,
Family,'Simkaniaceae','Sphingobacteriaceae',,
Family,*'Thermaceae','Spirosomaceae',,
Family,'Weeksellaceae','Unknown_Family',,
Family,'Woesearchaeia_fa','env.OPS_17',,
Genus,'AKYH767_ge','AAP99','BSLdp215_ge',
Genus,'Acetobacteraceae_unclassified','Acetobacteraceae_unclassified','Fischerella_PCC-9339',
Genus,'Acidithiobacillus','Acinetobacter','Hydrogenobaculum',
Genus,'Bacteroides','Arcicella','Methylotenera',
Genus,'Candidatus_Woykebacteria_ge','Bacteroidia_unclassified','Oxyphotobacteria_unclassified',
Genus,'Chlamydiales_unclassified','Betaproteobacteriales_unclassified',*'Pseudomonas',
