Level,"Springs/Streams Only, Snow Recharge (MH)","Springs/Streams Only, Snow Recharge (GNP)","Endmembers Only, Snow Recharge (MH)","Endmembers Only, Snow Recharge (GNP)"
Phylum,'Armatimonadetes',,'Elusimicrobia',N/A
Phylum,'WPS-2',,'Nitrospirae',
Phylum,,,'Tenericutes',
Class,'AD3','Chloroflexia','4/29/2001',
Class,'Chthonomonadetes','Gitt-GS-136','Acidobacteriia',
Class,*'Elusimicrobia',,'Actinobacteria_unclassified',
Class,'Gitt-GS-136',,*'Elusimicrobia',
Class,'Holophagae',,'Mollicutes',
Class,'Ktedonobacteria',,'P2-11E',
Class,'WPS-2_cl',,,
Order,'Bdellovibrionales','Gemmatales','Bacteria_unclassified',
Order,'Caenarcaniphilales','Gemmatimonadales','Bacteroidales',
Order,'Candidatus_Peregrinibacteria','KD4-96_or','Isosphaerales',
Order,'Candidatus_Woesebacteria','Latescibacteria_or','KD4-96_or',
Order,'Chthoniobacterales','Oligoflexales','Micrococcales',
Order,'Frankiales','Rokubacteriales',,
Order,'Lineage_IIa_or',,,
Order,'Nitrosotaleales',,,
Order,'Omnitrophicaeota_or',,,
Order,'Parcubacteria_or',,,
Order,'Reyranellales',,,
Order,'Rhodospirillales',,,
Order,'Subgroup_2',,,
Order,'WD260',,,
Family,'Bdellovibrionaceae','0319-6G20','Bacteria_unclassified',
Family,'Beijerinckiaceae','Gemmataceae','Gallionellaceae',
Family,'Caenarcaniphilales_fa','Gemmatimonadaceae','Isosphaeraceae',
Family,'Candidatus_Peregrinibacteria_fa','KD4-96_fa','KD4-96_fa',
Family,'Candidatus_Woesebacteria_fa','Latescibacteria_fa','Leeiaceae',
Family,'Chthoniobacteraceae','Rhizobiales_Incertae_Sedis','Microbacteriaceae',
Family,'Clostridiaceae_1','Rokubacteriales_fa','Nakamurellaceae',
Family,'Lineage_IIa_fa','TRA3-20','Prevotellaceae',
Family,'Moraxellaceae',,'Sulfuricellaceae',
Family,'Nitrosotaleaceae',,,
Family,'Nostocaceae',,,
Family,'Omnitrophicaeota_fa',,,
Family,'Parcubacteria_fa',,,
Family,'Phormidiaceae',,,
Family,'Reyranellaceae',,,
Family,'Spirosomaceae',,,
Family,'Subgroup_2_fa',,,
Family,'WD260_fa',,,
Genus,'Acinetobacter','0319-6G20_ge','Alloprevotella',
Genus,'Aphanizomenon_NIES81','KD4-96_ge','Bacteria_unclassified',
Genus,'Bdellovibrio','Latescibacteria_ge','Burkholderiaceae_ge',
Genus,'Caenarcaniphilales_ge','Rokubacteriales_ge','Gallionellaceae_unclassified',
Genus,'Candidatus_Peregrinibacteria_ge','TRA3-20_ge','KD4-96_ge',
Genus,'Candidatus_Udaeobacter',,'Massilia',
Genus,'Candidatus_Woesebacteria_ge',,'Microbacteriaceae_unclassified',
Genus,'Chitinophagaceae_unclassified',,'Nakamurella',
Genus,'Chthoniobacter',,'Segetibacter',
Genus,'Lineage_IIa_ge',,'Singulisphaera',
Genus,'Methylobacterium',,'Sphingomonas',
Genus,'Nitrosotaleaceae_ge',,'Sulfuriferula',
Genus,'Novosphingobium',,,
Genus,'Omnitrophicaeota_ge',,,
Genus,'Parcubacteria_ge',,,
Genus,'Pedosphaeraceae_ge',,,
Genus,'Reyranella',,,
Genus,'Rhodoferax',,,
Genus,'Solitalea',,,
Genus,'Sphingobacteriaceae_unclassified',,,
Genus,'Subgroup_2_ge',,,
Genus,'Tychonema_CCAP_1459-11B',,,
Genus,'WD260_ge',,,
