"","JM1713_Rubideau","JM1714_Lunch_Creek","JM1715_Mineral_Creek_Spring","JM1741_McDonald_Creek_1","JM175_Mtn_Goat","JM1762_Mtn_Goat","JM1773_Lunch_Creek","JM1774_Crack_Spring","JM177_Piegan_North","JM179_Weeping_Wall"
"Otu00001",7656,15961,8,0,7,0,48,70,0,0
"Otu00002",1,287,3,4,8,3,9464,1,0,10693
"Otu00003",1,0,0,1,1090,6,0,0,1,474
"Otu00004",0,0,3,98,2269,0,191,0,268,1105
"Otu00005",0,12,0,4,0,0,0,0,0,2
"Otu00006",99,50,26,25,79,0,5511,0,0,439
"Otu00007",0,0,0,0,0,0,0,13,3,0
"Otu00008",0,0,0,0,0,0,0,0,6534,0
"Otu00009",826,11,4,0,4910,10,50,0,0,558
"Otu00010",0,0,47,7,0,595,0,0,0,0
"Otu00011",0,0,2,1,0,6557,0,0,0,0
"Otu00012",192,13,15,385,0,1,479,0,0,1272
"Otu00013",0,0,0,0,0,0,0,0,2455,0
"Otu00014",3122,900,135,0,9,749,38,1,0,134
"Otu00015",78,204,11,21,113,0,25,293,0,6
"Otu00016",0,6,0,0,16,0,0,17,0,0
"Otu00017",0,0,0,0,0,0,0,0,143,0
"Otu00018",0,0,0,0,0,0,11,0,4254,0
"Otu00019",1,1450,293,2208,1,0,1,0,0,4
"Otu00020",0,0,0,0,1,0,0,0,12,0
"Otu00021",1,1406,5580,0,1,0,8,0,0,0
"Otu00022",0,0,0,0,0,0,0,0,0,0
"Otu00023",0,0,0,0,5,0,5,28,0,0
"Otu00024",12,59,423,0,5,0,0,0,0,6
"Otu00025",0,0,0,0,0,0,0,0,0,0
"Otu00026",0,0,0,0,0,0,0,0,4017,0
"Otu00027",0,0,237,3866,0,0,0,0,0,0
"Otu00028",163,0,51,2,1,2148,68,0,1,3
"Otu00030",0,0,0,0,0,0,0,0,1,0
"Otu00031",83,21,13,0,17,0,140,6,8,2026
"Otu00032",0,0,0,0,4557,0,0,0,0,0
"Otu00033",2,45,297,0,11,2217,70,0,0,28
"Otu00034",0,0,0,0,0,0,7,0,864,0
"Otu00035",1,0,0,31,2322,0,27,19,0,0
"Otu00036",42,0,0,0,64,0,29,263,1,204
"Otu00037",0,0,0,0,0,0,1,0,0,0
"Otu00038",0,0,0,0,0,0,0,0,0,0
"Otu00039",0,0,0,0,0,0,0,3,0,0
"Otu00040",35,0,0,9,44,0,3,0,0,2191
"Otu00041",1,0,0,0,28,0,1,0,14,0
"Otu00042",325,0,1,1,0,0,0,0,0,0
"Otu00043",0,7,0,11,3180,0,31,1,0,0
"Otu00044",0,18,156,111,16,0,406,1411,0,206
"Otu00045",125,104,7,0,37,1315,24,3,0,207
"Otu00046",126,1,26,0,17,593,0,8,118,4
"Otu00047",0,0,45,441,109,0,30,628,0,0
"Otu00048",0,0,0,0,0,1927,0,0,1,0
"Otu00049",1,7,475,0,1,0,0,1505,0,0
"Otu00050",0,0,2,41,143,0,16,0,2,0
"Otu00051",0,0,298,1220,20,0,627,0,0,0
"Otu00052",0,0,921,1783,0,24,0,0,0,0
"Otu00053",0,0,0,0,0,2267,0,1,0,0
"Otu00054",0,0,3,0,30,0,6,79,0,0
"Otu00055",452,655,36,18,26,0,36,26,0,94
"Otu00056",0,0,3,0,0,1685,0,0,0,0
"Otu00058",0,0,0,0,0,0,179,0,0,2045
"Otu00059",0,0,0,0,0,1,0,0,1565,0
"Otu00060",0,0,0,0,0,0,3,0,75,0
"Otu00061",5188,0,0,0,0,0,0,1,0,0
"Otu00062",0,0,42,1756,0,0,0,0,0,0
"Otu00064",0,0,0,0,0,0,0,9,0,0
"Otu00065",0,0,3498,0,0,0,0,0,0,0
"Otu00066",45,68,1112,28,3,19,28,0,0,168
"Otu00067",42,181,2,1,56,0,5,35,0,17
"Otu00068",0,0,0,0,80,0,33,0,0,0
"Otu00069",0,0,773,771,109,0,14,0,0,0
"Otu00070",1,0,0,0,0,0,693,0,0,0
"Otu00071",0,41,0,0,3,0,0,39,8,14
"Otu00072",0,0,3,1,0,1322,0,0,0,0
"Otu00073",0,0,0,0,0,0,0,0,0,0
"Otu00074",0,0,0,1932,0,0,0,0,0,0
"Otu00075",0,0,0,45,9,0,82,0,0,1
"Otu00077",0,0,0,0,0,0,273,0,0,329
"Otu00078",0,0,0,0,5,0,0,0,1008,0
"Otu00079",0,0,0,0,0,0,2,0,129,0
"Otu00080",693,185,5,15,3,135,5,1,0,9
"Otu00081",0,0,42,70,0,0,145,0,0,111
"Otu00082",0,0,0,1,44,0,0,172,0,0
"Otu00083",0,0,0,48,0,690,51,0,0,0
"Otu00084",0,1,0,11,2150,0,6,0,4,0
"Otu00085",0,2,0,0,11,0,0,0,0,0
"Otu00086",0,0,0,0,0,0,0,0,797,0
"Otu00087",0,4,0,11,0,0,45,0,227,0
"Otu00088",0,0,0,22,0,0,0,0,264,0
"Otu00090",0,0,0,0,0,0,250,0,0,0
"Otu00091",879,375,52,14,16,55,8,0,0,87
"Otu00092",0,0,0,0,0,0,6,0,443,0
"Otu00095",0,0,0,17,516,0,25,0,17,0
"Otu00096",0,0,0,0,0,0,0,0,916,0
"Otu00097",0,0,0,0,0,0,0,24,0,0
"Otu00098",0,0,0,0,0,0,0,0,0,0
"Otu00099",204,3,1,0,5,837,0,0,1,0
"Otu00100",7,0,4,14,34,0,9,69,0,0
"Otu00101",12,0,0,128,0,0,8,694,0,0
"Otu00102",22,279,2,6,83,0,4,18,0,4
"Otu00103",0,0,2187,2,0,0,0,0,0,0
"Otu00104",32,299,97,126,1,0,2,61,448,15
"Otu00105",284,795,0,0,3,0,24,0,0,60
"Otu00106",0,2,0,4,19,0,0,15,0,1
"Otu00107",0,0,0,21,0,0,5,322,0,0
"Otu00108",0,0,0,321,0,0,157,1258,0,36
"Otu00109",0,0,0,0,0,0,0,0,383,0
"Otu00110",12,3,59,1,37,42,5,55,0,0
"Otu00111",0,0,0,0,0,0,0,0,0,0
"Otu00112",226,172,24,8,16,47,7,0,0,40
"Otu00113",31,3,12,13,77,0,5,177,0,32
"Otu00114",6,8,0,16,15,0,10,28,1,303
"Otu00115",0,0,1281,540,0,0,4,0,0,0
"Otu00116",0,0,0,0,0,0,0,10,0,0
"Otu00117",0,0,0,0,0,0,0,51,0,0
"Otu00118",44,0,0,0,1,0,0,0,6,0
"Otu00119",15,0,0,0,0,0,654,0,118,0
"Otu00120",0,0,0,0,0,0,58,9,233,0
"Otu00121",1,0,49,7,4,52,0,30,1,0
"Otu00123",0,0,1,45,2,0,0,1,5,0
"Otu00124",40,17,28,956,0,0,6,0,0,1
"Otu00125",0,0,0,17,0,0,1,0,3,0
"Otu00126",0,0,0,0,0,0,0,0,4,0
"Otu00127",0,0,0,0,0,0,34,13,0,0
"Otu00128",0,0,0,0,0,0,0,0,516,0
"Otu00129",1640,101,3,0,65,1,0,0,1,14
"Otu00130",172,121,0,7,5,3,12,3,6,9
"Otu00131",0,184,0,0,0,0,0,30,1,0
"Otu00132",63,66,39,5,4,4,16,58,7,30
"Otu00133",0,0,9,345,0,0,0,777,0,0
"Otu00134",9,222,8,4,13,0,0,17,0,0
"Otu00135",0,0,345,0,0,391,0,0,0,0
"Otu00136",182,296,0,13,34,0,0,9,0,0
"Otu00137",0,0,1,0,1068,0,0,0,0,0
"Otu00139",29,1,38,0,8,59,5,44,0,1
"Otu00140",55,18,7,0,54,19,10,5,0,31
"Otu00141",0,0,0,0,0,0,0,5,0,0
"Otu00142",0,0,42,0,0,182,0,0,0,0
"Otu00143",0,0,0,0,8,0,0,1457,0,0
"Otu00144",0,0,0,0,12,0,0,0,0,897
"Otu00145",0,0,0,0,0,0,0,12,0,0
"Otu00146",0,0,0,0,0,0,0,82,0,0
"Otu00148",0,2,243,2,24,11,6,16,0,0
"Otu00149",0,0,0,0,0,0,0,0,0,0
"Otu00150",51,407,15,0,0,33,29,0,0,57
"Otu00151",0,0,0,910,14,0,0,0,0,0
"Otu00153",167,145,25,5,22,18,2,0,0,28
"Otu00155",0,0,0,0,0,500,0,0,0,0
"Otu00156",0,4,3,0,0,0,0,0,0,0
"Otu00157",0,0,0,0,0,0,0,654,0,0
"Otu00158",0,0,0,0,0,0,0,0,0,0
"Otu00159",0,0,7,0,0,546,0,0,0,0
"Otu00160",0,0,0,0,0,0,0,0,469,0
"Otu00161",0,0,0,0,97,0,7,25,0,0
"Otu00162",0,0,684,17,8,201,22,103,0,0
"Otu00163",0,0,0,0,0,0,0,30,0,0
"Otu00164",0,0,0,0,0,0,0,0,0,0
"Otu00165",0,0,0,8,0,0,0,16,0,0
"Otu00166",0,0,0,0,17,401,4,6,0,70
"Otu00167",0,1,0,0,0,0,0,58,0,0
"Otu00168",8,1,112,13,1,87,0,0,0,1
"Otu00169",0,0,0,88,39,0,0,0,0,0
"Otu00170",0,0,0,0,14,0,0,36,0,0
"Otu00171",0,0,0,0,0,0,17,0,24,0
"Otu00172",0,0,1,0,0,0,34,0,0,744
"Otu00173",39,279,0,0,3,0,0,0,0,9
"Otu00174",39,81,72,6,0,0,44,0,0,0
"Otu00175",0,0,0,0,35,0,0,0,0,0
"Otu00176",0,0,0,29,0,0,0,0,0,0
"Otu00177",0,0,0,0,0,0,0,0,584,0
"Otu00178",283,1,2,0,34,0,64,0,0,146
"Otu00179",0,0,0,114,328,0,0,9,3,0
"Otu00180",51,2,84,0,1,317,0,0,0,0
"Otu00181",0,17,0,361,0,0,0,62,0,112
"Otu00182",0,1,0,0,14,0,39,81,0,0
"Otu00183",0,0,0,0,0,0,133,0,0,0
"Otu00184",0,0,0,0,0,0,0,1077,0,0
"Otu00185",0,17,1,1,0,1,0,0,0,5
"Otu00186",0,0,0,0,1,0,0,38,0,0
"Otu00187",0,0,0,0,0,0,788,0,0,0
"Otu00188",0,0,0,8,0,0,0,0,0,0
"Otu00189",0,0,8,10,30,10,14,2,0,0
"Otu00190",0,0,2,0,0,0,3,0,0,0
"Otu00191",26,0,0,22,331,0,19,17,0,0
"Otu00192",0,0,0,29,26,0,0,0,0,0
"Otu00193",0,0,0,0,0,0,0,1037,0,0
"Otu00194",0,0,0,2,76,0,14,0,0,0
"Otu00195",0,2,12,6,8,0,0,9,46,0
"Otu00196",0,0,0,0,0,0,0,0,0,0
"Otu00197",0,0,0,0,0,0,0,0,0,0
"Otu00198",94,27,2,12,3,0,43,20,2,1
"Otu00199",0,9,6,0,26,0,2,0,0,22
"Otu00200",0,0,1,31,4,11,10,1,6,0
"Otu00201",0,0,0,0,0,0,0,0,0,0
"Otu00202",0,0,0,0,0,397,5,0,0,0
"Otu00203",0,0,0,0,0,0,5,4,0,0
"Otu00204",0,0,0,113,0,1,0,82,0,0
"Otu00205",0,0,0,0,0,0,0,0,359,0
"Otu00206",0,0,0,0,0,0,0,0,0,0
"Otu00208",0,14,0,0,30,0,0,8,0,0
"Otu00209",6,0,0,0,6,0,0,0,0,0
"Otu00210",0,0,0,0,0,552,0,0,0,0
"Otu00211",0,0,0,0,0,0,0,0,83,0
"Otu00212",0,0,923,63,0,11,0,0,0,0
"Otu00213",0,0,0,5,0,0,0,0,0,0
"Otu00214",0,269,0,15,0,0,0,0,0,0
"Otu00215",0,0,0,16,6,0,0,53,4,0
"Otu00217",0,0,0,0,0,0,0,0,0,0
"Otu00218",0,0,0,91,0,0,0,0,0,0
"Otu00219",0,0,20,117,3,0,117,109,0,0
"Otu00220",0,0,0,0,0,0,0,0,9,0
"Otu00221",0,0,0,0,0,0,6,3,214,0
"Otu00223",156,5,6,0,69,0,0,0,5,0
"Otu00224",0,0,0,0,0,0,0,0,0,0
"Otu00225",0,1,1,0,0,1,0,0,0,14
"Otu00226",0,0,0,6,0,0,613,0,0,0
"Otu00227",1,17,0,0,0,0,13,42,0,2
