"","JM1710_Coe_Spring_Run","JM1711_Paradise_Park_Spring","JM1716_Bell_Spring","JM1717_Buzzard_Fountain","JM1719_Palmer_B","JM1722_James_Spring","JM1724_Lolo_Spring","JM1726_Choss_Seep","JM1727_Zigzag_Spring","JM1728_Coe_Spring_B","JM1766_James_Spring","JM1767_Sandy_Creek_Trib.","JM1776_Buzzard_Fountain","JM1778_Paradise_Park_Spring","JM1785_Choss_Seep"
"Otu00001",0,12741,5,0,15,5,12086,8,0,710,569,314,2,1271,479
"Otu00002",17,2675,4,196,7,0,2148,11092,11867,10,0,650,0,5020,3
"Otu00003",30,2,205,4143,0,0,1,2295,2009,0,0,11939,0,0,0
"Otu00004",86,207,0,0,0,2,0,1024,1193,0,0,51,45,180,1
"Otu00005",0,853,1,0,1,0,0,16,8,0,0,0,1,0,0
"Otu00006",15,165,0,28,2,0,71,669,1221,0,1,12,0,3043,2
"Otu00007",0,0,1,8854,1,0,1,0,0,0,0,0,0,0,0
"Otu00008",0,0,0,0,0,0,0,0,0,2,0,0,968,0,0
"Otu00009",0,4,10,53,24,11,80,75,89,81,30,79,7,1653,1
"Otu00010",0,0,0,0,6826,0,0,1,0,0,0,0,0,0,0
"Otu00011",9,0,3,0,0,24,16,0,1,0,0,1,0,35,1
"Otu00012",0,6,0,0,0,0,0,0,1,0,0,4,0,189,0
"Otu00013",0,0,0,0,0,0,0,0,0,1,0,0,5671,0,0
"Otu00014",3,0,7,35,2312,2,52,2,0,7,0,110,0,121,0
"Otu00015",898,541,512,425,9,910,573,93,12,432,576,562,0,284,247
"Otu00016",1630,8,1,0,0,6,185,460,245,140,109,5,88,9,4862
"Otu00017",2,0,0,20,0,0,0,0,1,0,0,0,0,0,0
"Otu00018",0,0,0,0,0,0,0,0,0,0,1,0,1038,0,0
"Otu00019",0,0,2,0,61,0,0,12,3,0,1,0,0,0,0
"Otu00020",3,2,1,0,0,0,0,2700,2763,2045,0,103,4,0,0
"Otu00021",0,0,2,1,0,0,0,0,0,0,3,0,0,4,0
"Otu00022",491,3,2,0,0,1,96,0,0,0,0,3,0,0,5869
"Otu00023",57,397,3,0,0,0,9,1888,1617,0,0,41,0,937,40
"Otu00024",0,0,0,1,4392,0,3,1,0,0,0,0,0,16,0
"Otu00025",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Otu00026",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Otu00027",0,0,0,1,11,0,0,0,0,0,0,0,0,0,0
"Otu00028",1,0,0,0,964,8,0,0,0,6,0,3,0,11,1
"Otu00030",0,0,0,1818,15,1,0,854,0,0,0,0,0,0,0
"Otu00031",1,86,2,316,0,5,258,154,79,17,3,3,3,98,1
"Otu00032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00033",0,0,0,18,0,0,19,1,2,0,0,0,0,0,1
"Otu00034",0,4,0,0,0,0,0,0,0,0,0,0,539,0,0
"Otu00035",7,13,410,28,0,4,82,21,18,548,240,23,5,178,4
"Otu00036",25,3,154,19,0,27,193,0,0,561,55,0,22,11,2205
"Otu00037",0,1858,0,0,1,0,0,70,11,0,0,0,0,0,0
"Otu00038",0,1897,0,0,0,0,0,1,0,0,0,0,0,0,0
"Otu00039",20,216,0,0,0,2,0,2006,1569,0,0,0,0,0,69
"Otu00040",24,5,3,0,0,23,240,9,0,127,9,3,15,7,18
"Otu00041",0,0,21,2,0,0,0,6,0,6,6,2663,1,0,0
"Otu00042",1,3,3,0,2605,1,0,0,0,0,2,29,0,51,0
"Otu00043",0,0,0,7,0,10,0,109,92,0,25,21,7,77,7
"Otu00044",22,15,7,3,0,0,0,0,396,8,400,2,0,41,0
"Otu00045",0,4,0,58,4,0,102,1,10,0,0,42,0,98,0
"Otu00046",36,11,108,12,523,141,12,2,4,74,73,4,1311,22,11
"Otu00047",45,0,2,234,2,0,1,41,0,0,892,3,0,52,13
"Otu00048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00049",0,170,1,626,1,0,226,31,30,12,0,5,0,0,1
"Otu00050",0,340,1,3,0,0,0,32,28,0,35,24,2,0,0
"Otu00051",0,0,0,0,0,0,0,0,15,0,0,0,0,370,0
"Otu00052",0,1,0,0,26,0,0,0,0,0,0,0,0,0,0
"Otu00053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00054",182,884,33,77,0,158,1,8,0,224,231,64,0,1,198
"Otu00055",203,0,5,354,148,0,348,8,17,52,1,12,0,110,0
"Otu00056",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Otu00058",0,0,0,0,0,0,0,0,0,0,0,4,0,2,0
"Otu00059",0,0,0,0,0,0,0,0,0,0,0,0,358,0,0
"Otu00060",0,0,0,0,0,0,0,0,0,0,1,0,2920,0,0
"Otu00061",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00064",1996,0,2,0,0,21,0,0,0,374,51,0,0,0,372
"Otu00065",0,0,5,0,0,0,0,0,0,0,0,0,1,0,1
"Otu00066",1,0,0,0,793,0,7,0,18,13,22,6,1,184,0
"Otu00067",110,12,494,68,37,85,515,11,13,104,8,254,0,76,33
"Otu00068",0,0,0,1,0,1,4,19,0,10,89,25,2,1168,0
"Otu00069",0,5,0,0,0,0,0,6,0,0,6,43,0,354,1
"Otu00070",0,0,0,0,0,0,0,0,0,0,0,25,0,965,2
"Otu00071",89,130,235,80,5,204,310,38,4,277,239,227,2,71,163
"Otu00072",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Otu00073",6,3,0,0,0,0,0,0,0,0,33,0,2,0,2611
