alt_sample_name,sample_name,date,SampleID_16S,SampleID_18S,bio_rep,location,sample_type,latitude,longitude,elevation_m,ysi_temp,ysi_do,ysi_spc,ysi_ph,ysi_orp,alkalinity_caco3,bicarbonate_hco3,calcium,chloride,magnesium,potassium,sio2,sodium,strontium,sulfate,tds,dist_from_summit,fi_Best,quadrant,quadrant_ew,region
Near Tilly Jane Rd Spring,Tilly Jane Spring,10/8/16,JM1610_Tilly_Jane_45_or_20,,1,MH,Spring,45.44380585,-121.5801432,820.5216,5.5,1.41,82.5,6.67,255,40,48,8.08,2.48,2.55,1.82,44.9,6.39,0.055,7.29,98,11964.2,0.61,NE,East,Eliot Region
Near Tilly Jane Rd Spring,Tilly Jane Spring,10/8/16,JM1611_Tilly_Jane_45_or_20,,2,MH,Spring,45.44380585,-121.5801432,820.5216,5.5,1.41,82.5,6.67,255,40,48,8.08,2.48,2.55,1.82,44.9,6.39,0.055,7.29,98,11964.2,0.61,NE,East,Eliot Region
Coe Spring B,Coe Spring B,7/26/17,JM1728_Coe_Spring_B,JM1728_Coe_Spring_B,0,MH,Spring,45.45241077,-121.6529396,939.39,7.4,10.3,60.1,6.89,251.7,34,42,5.66,0.989,1.19,1.91,49.8,4.47,0.059,0.233,85,9385.2,0.11,NE,East,Coe Region
Eliot Terminus Downstream ,Eliot091919A,9/19/19,MtH8_D06_S315,,0,MH,Stream,45.39547956,-121.6607579,1877.8728,1.8,11.17,59.9,7.72,305.1,14,17,4.89,,1.92,0.46,12.9,2.85,0.022,16.4,48,3678.5,0.69,NE,East,Eliot Region
Eliot Terminus Center Subglacial Melt,Eliot091919B,9/19/19,MtH10_C08_S258,MtH16_E01,0,MH,Glacial Melt,45.39366983,-121.6630236,1890.0648,1,11.15,54.9,7.54,276,12,15,4.23,0.081,1.68,0.416,11.3,2.45,0.018,13.9,43,3412.6,0.75,NE,East,Glacial Ice
Sherwood Camp Spring,Sherwood Camp Spring,9/16/19,MtH24_D11_S288,,0,MH,Spring,45.39485075,-121.5702804,965.9112,6.1,8.51,53.7,6.56,297.3,,,,,,,,,,,,10125.4,0.58,NE,East,Outlier
Coe Spring Run,Coe Spring Run,7/26/17,JM1710_Coe_Spring_Run,JM1710_Coe_Spring_Run,0,MH,Stream,45.44388918,-121.6585131,997.92,8.2,10.26,40.4,6.83,214.2,23,29,3.83,0.898,0.75,1.2,35.3,3.36,0.042,0.549,60,8345,0.14,NE,East,Coe Region
Eliot Terminus Right Subglacial Melt,Eliot091919F,9/19/19,MtH6_C04_S310,MtH6_D03,0,MH,Glacial Melt,45.39450054,-121.6640133,1898.5992,0,11.54,38.4,6.15,320.8,6,7,4.16,0.081,0.802,0.317,7.22,0.613,0.015,14.6,32,3416.4,0.84,NE,East,Glacial Ice
Eliot Terminus Left Subglacial Melt,Eliot091919D,9/19/19,MtH15_D02_S268,,0,MH,Glacial Melt,45.39351658,-121.6622351,1895.2464,0.7,11.03,36.4,6.67,314.1,12,14,3.79,0.081,1.47,0.379,10.3,2.15,0.017,12.1,38,3448.6,0.9,NE,East,Glacial Ice
Hungry Horse Spring,Hungry Horse Spring,7/30/18,,,,GNP,Spring,48.38576583,-114.1024256,933.3,8.2,10.47,421.5,7.45,102.3,146,178,35.3,,15.3,0.448,8.43,1.68,0.044,10.6,161,,0.5,,,Outlier
Tilly Jane Headwaters,Tilly Jane Headwaters,9/20/19,MtH11_C10_S260,MtH11_D08,0,MH,Spring,45.39310973,-121.6590125,1926.0312,6,6.86,35.2,8.05,226.4,13,16,1.23,,0.226,0.489,19.7,1.36,0.011,,32,3618.4,0.76,NE,East,Eliot Region
Rubideau Spring,Rubideau Spring,7/29/18,,,,GNP,Spring,48.50947611,-114.0241443,1182.62,6.4,10.34,319.6,7.36,116.3,,,,,,,,,,,,,0.22,,,Outlier
Packers Roost Spring,Packers Roost Spring,7/30/18,,,,GNP,Spring,48.74932606,-113.7935068,1142.09,5.1,10.74,250.6,7.5,141,,,,,,,,,,,,,0.89,,,Packers Roost Region
Lunch Creek Spring,Lunch Creek Spring,7/26/18,,,,GNP,Spring,48.69880031,-113.7051857,1933.65,3.9,8.53,210.5,7.29,179.7,,,,,,,,,,,,,0.98,,,Piegan Region
Weeping Wall Spring,Weeping Wall Spring,7/29/18,,,,GNP,Spring,48.72822939,-113.7292596,1853.49,4.1,10,209.6,7.53,103.9,,,,,,,,,,,,,0.92,,,Haystack Butte Region
Coe Stream,Coe Stream,10/9/16,JM1616_Coe_20,,1,MH,Stream,45.45346267,-121.6520705,911.35,7.8,10.35,27.5,6.6,321.4,14,17,3.72,,1.05,0.728,19.8,2.22,0.022,5.45,43,9518.8,0.26,NE,East,Coe Region
Coe Stream,Coe Stream,10/9/16,JM1626_Coe_45,,2,MH,Stream,45.45346267,-121.6520705,911.35,7.8,10.35,27.5,6.6,321.4,14,17,3.72,,1.05,0.728,19.8,2.22,0.022,5.45,43,9518.8,0.26,NE,East,Coe Region
Avalanche Spring,Avalanche Spring,7/30/18,,,,GNP,Spring,48.67652814,-113.8104943,1107.64,6.3,9.31,159,7.64,128.2,,,,,,,,,,,,,0.6,,,Outlier
Eliot Spring,Eliot Spring,9/20/19,MtH7_C05_S312,,0,MH,Spring,45.39368116,-121.6586157,1921.1544,2.9,10.45,27.5,7.41,311,,,,,,,,,,,,3681.5,0.87,NE,East,Eliot Region
Eliot G Spring,Eliot Spring,10/8/16,JM1619_Eliot_Spring_20,,0,MH,Spring,45.39368116,-121.6586157,1921.1544,3.1,8.77,23.6,7.73,207.4,18,22,2.37,,0.293,0.968,28.1,2.01,0.019,,46,3681.5,0.8,NE,East,Eliot Region
Eliot G Lower Snowpack,Eliot Glacier Snowpack Algae,7/28/17,JM1780_Eliot_G_Snowpack_Algae,JM1780_Eliot_G._Snowpack_Algae,0,MH,Snow Algae,45.38978586,-121.6580436,1995.2208,0,,,,,,,,,,,,,,,,3474.7,0.74,NE,East,Snow Algae
Eliot G Snow Algae,Eliot Glacier Snow Algae,10/9/16,JM1618_Algae_45,,1,MH,Snow Algae,45.38530257,-121.6710768,2128.4184,0,,,,,8,10,0.801,,0.141,0.178,1.71,0.161,0.003,,10,2345.7,0.09,NE,East,Snow Algae
Eliot G Snow Algae,Eliot Glacier Snow Algae,10/9/16,JM1620_Algae_20,,2,MH,Snow Algae,45.38530257,-121.6710768,2128.4184,0,,,,,8,10,0.801,,0.141,0.178,1.71,0.161,0.003,,10,2345.7,0.09,NE,East,Snow Algae
Eliot G Snow Algae,Eliot Glacier Snow Algae,10/9/16,JM1628_Algae_45,,3,MH,Snow Algae,45.38530257,-121.6710768,2128.4184,0,,,,,8,10,0.801,,0.141,0.178,1.71,0.161,0.003,,10,2345.7,0.09,NE,East,Snow Algae
McDonald Creek #3,McDonald Creek #3,8/12/17,,,,GNP,Stream,48.73029126,-113.7627746,1152.14,10.7,8.66,122.4,7.61,252.9,68,83,18.6,0.071,4.22,0.16,3.26,0.49,0.027,2.52,71,,0.5,,,Stream
Crystal Spring,Crystal Spring,7/28/17,,,,MH,Spring,45.4591705,-121.5851808,743.71,5.7,11.64,82.7,6.09,284.1,41,50,6.16,1.1,2.46,1.32,35.6,4.92,0.053,2.71,80,12872,0.71,NE,East,Eliot Region
Eliot G Snow Algae,Eliot Glacier Snow Algae,10/9/16,JM1621_Algae_20,,4,MH,Snow Algae,45.38530257,-121.6710768,2128.4184,0,,,,,8,10,0.801,,0.141,0.178,1.71,0.161,0.003,,10,2345.7,0.09,NE,East,Snow Algae
Eliot Glacier Snowpack,Eliot Glacier Snowpack,7/22/17,JM1777_Eliot_G_Snowpack_Surface_Snow,JM1777_Eliot_G._Snowpack_Surface_Snow,0,MH,Snow,45.38978586,-121.6580436,1995.22,0,,,,,,,,,,,,,,,,3474.7,0.36,NE,East,Snow
Crack Spring,Grinnell Spring,7/27/18,,,,GNP,Spring,48.77017057,-113.7161256,1844.04,4.6,8.98,109,7.41,108.1,,,,,,,,,,,,,0.9,,,Grinnell Region
Near Johns Mill Rd-B Spring,Johns Mill Spring,10/9/16,,,,MH,Spring,45.50060852,-121.481859,1157.6304,8.5,3.93,78.7,6.74,262.3,37,46,6.9,1.85,1.72,1.53,24.7,5.79,0.096,1.14,67,21908.9,0.58,NE,East,Outlier
Eliot Terminus Center Snowpack,Eliot091919C - Snow,9/19/19,MtH14_D01_S266,MtH14_D11,0,MH,Snow,45.39357369,-121.6632686,1894.9416,,,,,,6,7,0.17,0.5,,0.065,0.81,0.076,0.001,,6,3391.1,0.27,NE,East,Snow
Eliot Terminus Left Glacial Ice,Eliot091919E,9/19/19,MtH12_C11_S262,,0,MH,Glacial Melt,45.39365109,-121.6629602,1894.9416,,,,,,10,12,0.248,0.081,0.108,0.362,9.03,2.25,0.002,,20,3415,0.6,NE,East,Glacial Ice
Eliot Terminus Right Glacial Ice,Eliot091919G,9/19/19,MtH3_C01_S304,MtH4_D01,0,MH,Glacial Ice,45.39450054,-121.6640133,1898.5992,,,,,,6,8,0.186,0.081,,0.079,0.06,0.08,0.001,,5,3416.4,0.88,NE,East,Glacial Ice
Near Tilly Jane Spring,Tilly Jane Spring 2,7/24/17,,,,MH,Spring,45.44380585,-121.5801432,820.52,5.5,10.62,63.4,6.49,241,32,39,5.52,1.4,1.7,1.44,42.7,4.56,0.041,2.9,80,11964.2,0.57,NE,East,Eliot Region
Snowpack Upper Eliot Glacier,Eliot Glacier Fresh Snow Upper,7/22/17,JM1771_Eliot_Glacier_Fresh_Snow,JM1771_Eliot_Glacier_Fresh_Snow_,0,MH,Snow,45.38526896,-121.6697363,2123.85,0,,,,,,,,0.5,,,,,,,,2431.8,0.19,NE,East,Snow
Marty 4 (eliot spring),Eliot Spring,7/31/16,,,,MH,Spring,45.39368116,-121.6586157,1921.1544,4,9.85,37.24137931,6.65,,12,15,1.5,,0.182,0.543,28,1.11,0.012,,40,3681.5,0.67,NE,East,Eliot Region
Tilly Jane Headwaters,Tilly Jane Headwaters,9/20/19,,MtH13_D10,1,MH,Spring,45.39310973,-121.6590125,1926.0312,6,6.86,35.2,8.05,226.4,13,16,1.23,,0.226,0.489,19.7,1.36,0.011,,32,3618.4,0.76,NE,East,Eliot Region
Eliot Spring,Eliot Spring,7/22/17,,,,MH,Spring,45.39368116,-121.6586157,1921.15,2.8,11.05,21,7.41,244.7,13,16,1.92,0.185,0.24,0.8,22,1.67,0.017,0.16,35,3681.5,0.78,NE,East,Eliot Region
Marty 3 (eliot glacier subglacial melt),Eliot Glacier Subglacial Melt,7/31/16,,,,MH,Glacial Melt,45.38558258,-121.6711597,2118.9696,1.1,11.41,13.08429119,5.54,,6,8,0.763,0.081,0.121,,0.51,0.091,0.002,1.91,8,2357.7,0.64,NE,East,Glacial Ice
Base of Cloud Cap Road Precipitation,Base of Cloud Cap Road Precipitation,9/17/19,,,,MH,Rain,45.41855989,-121.5709729,883.3104,,,,,,,,,,,,,,,,,10991.3,0,NE,East,Rain
Cloud Cap Saddle Campground Precipitation,Cloud Cap Saddle Campground Precipitation,9/17/19,,,,MH,Rain,45.40454155,-121.6536691,1781.2512,,,,,,6,7,0.185,,,0.24,,0.141,0.001,,6,4776.5,0.18,NE,East,Rain
Cooper Spur Snowpack,Cooper Spur Snowpack,9/20/19,,,,MH,Snow,45.3802541,-121.6719614,2383.2312,,,,,,6,7,0.117,0.5,,,,0.066,,,5,2022.9,0.68,NE,East,Snow
Highline Trail Waterfall,Highline Trail Waterfall Stream,8/9/17,,,,GNP,Stream,48.70857999,-113.7159064,1964.44,10.1,8379,69.7,7.84,157.3,49,60,15.4,0.073,3.35,0.19,2.4,1.04,0.022,9.41,62,,0.47,,,Stream
Piegan North Spring,Piegan North Spring,7/26/18,,,,GNP,Spring,48.71661358,-113.6941217,2389.02,1.7,10.63,68.8,7.97,141.3,,,,,,,,,,,,,0.32,,,Piegan Region
Eliot Glacier Catchment - Glacial Ice,Eliot Glacier Catchment - Glacial Ice,7/20/18,,,,MH,Snow,45.3853762,-121.6712156,2103.12,0,,,,,,,,0.5,,,,,,,,2341.2,0.23,NE,East,Snow
Eliot Glacier Catchment - Snow 1,Eliot Glacier Catchment - Snow 1,7/20/18,,,,MH,Snow,45.38535582,-121.6710117,2061.3624,0,,,,,,,,0.5,,,,,,,,2353.2,0.22,NE,East,Snow
Eliot Glacier Catchment - Surface Snow/Algae,Eliot Glacier Catchment - Surface Snow/Algae,7/20/18,,,,MH,Snow Algae,45.38535582,-121.6710117,2061.3624,0,,,,,,,,,,,,,,,,2353.2,0.34,NE,East,Snow Algae
Hidden Pass Seep 2,Hidden Pass Seep 2,7/28/18,,,,GNP,Spring,48.6880162,-113.7366239,2166.52,7.4,9.89,63.2,6.93,109.7,,,,,,,,,,,,,0.24,,,Clements/Reynolds Region
Eliot Ice Climbers Glacier,Eliot Ice Climbers Glacier,9/19/19,,,,MH,Glacial Ice,45.37851581,-121.6874439,2669.7432,,,,,,,,,,,,,,,,,864.7,0.86,NE,East,Glacial Ice
