Location,Env_Variable_TableS1,Env_Variable,Rep,Rsquared,RSME,MAE,Warnings_Present
Mount Hood,elevation_m,Elevation,1,0.210453541,333.5185768,244.0128998,
Mount Hood,elevation_m,Elevation,2,0.17961815,334.8554426,249.7628831,
Mount Hood,elevation_m,Elevation,3,0.09557231,347.3099532,256.6916919,
Mount Hood,ysi_temp,Temp,1,0.564858444,5.47500258,3.843110083,
Mount Hood,ysi_temp,Temp,2,0.606649527,5.539901719,3.884801314,
Mount Hood,ysi_temp,Temp,3,0.590127756,5.302325293,3.765293417,
Mount Hood,ysi_do,DO,1,0.618517069,2.304763796,1.586605589,
Mount Hood,ysi_do,DO,2,0.411015015,2.703750177,1.750067001,
Mount Hood,ysi_do,DO,3,0.458452064,2.648842436,1.717474017,
Mount Hood,ysi_spc,SPC,1,0.687354626,234.000148,104.8526737,
Mount Hood,ysi_spc,SPC,2,0.391180242,270.2029765,112.9169569,
Mount Hood,ysi_spc,SPC,3,0.607968829,244.9405776,105.2039225,
Mount Hood,ysi_ph,pH,1,0.164854109,0.463983828,0.326600792,
Mount Hood,ysi_ph,pH,2,0.154924943,0.466028002,0.326850184,
Mount Hood,ysi_ph,pH,3,0.017108358,0.505842278,0.370371264,
Mount Hood,ysi_orp,ORP,1,0.022124144,30.79045528,23.80534506,
Mount Hood,ysi_orp,ORP,2,0.081183226,33.64345824,26.08292723,
Mount Hood,ysi_orp,ORP,3,0.161433026,35.6325114,27.9111303,
Mount Hood,alkalinity_caco3,CaCO3,1,0.671797966,33.23487906,16.96596413,
Mount Hood,alkalinity_caco3,CaCO3,2,0.477124397,37.34964315,19.25122808,
Mount Hood,alkalinity_caco3,CaCO3,3,0.702561731,32.57363526,17.25655872,
Mount Hood,bicarbonate_hco3,HCO3,1,0.709478516,38.6762364,21.59438385,
Mount Hood,bicarbonate_hco3,HCO3,2,0.386501562,45.00395516,24.18633061,
Mount Hood,bicarbonate_hco3,HCO3,3,0.721739079,36.98943108,19.99743364,
Mount Hood,calcium,Ca,1,0.55450611,12.39431143,6.113487967,
Mount Hood,calcium,Ca,2,0.686423402,11.75500561,5.592862676,
Mount Hood,calcium,Ca,3,0.493567075,12.58875098,6.279601892,
Mount Hood,chloride,Cl,1,0.623844008,30.77291764,13.66974842,
Mount Hood,chloride,Cl,2,0.456955393,32.62445516,16.00777432,
Mount Hood,chloride,Cl,3,0.520173529,31.66825004,14.33130502,
Mount Hood,magnesium,Mg,1,0.632969974,10.7616906,4.981161469,
Mount Hood,magnesium,Mg,2,0.691016352,9.876629748,4.344875279,
Mount Hood,magnesium,Mg,3,0.745156502,9.621578319,4.420822244,
Mount Hood,potassium,K,1,0.379508907,2.461923624,1.191863861,
Mount Hood,potassium,K,2,0.69568601,2.213925875,1.103960352,
Mount Hood,potassium,K,3,0.686915812,2.089323197,1.027342693,
Mount Hood,sio2,SiO2,1,0.719532986,16.61239591,11.65082016,
Mount Hood,sio2,SiO2,2,0.794486199,15.9413037,11.2670648,
Mount Hood,sio2,SiO2,3,0.769226272,16.17124879,11.60250458,
Mount Hood,sodium,Na,1,0.696244423,23.32172567,9.952483414,
Mount Hood,sodium,Na,2,0.740115882,24.88663732,10.49964231,
Mount Hood,sodium,Na,3,0.693031068,23.75429894,10.38974205,
Mount Hood,strontium,Sr,1,0.526814798,0.079361278,0.041019927,
Mount Hood,strontium,Sr,2,0.561562222,0.079159494,0.039830233,
Mount Hood,strontium,Sr,3,0.394653405,0.091298825,0.045731305,
Mount Hood,sulfate,SO4,1,0.436898659,57.39090661,23.61378534,
Mount Hood,sulfate,SO4,2,0.761235337,47.95257943,20.6979826,
Mount Hood,sulfate,SO4,3,0.723384229,51.44772324,21.55025537,
Mount Hood,tds,TDS,1,0.686550854,165.9419464,75.32699781,
Mount Hood,tds,TDS,2,0.753137088,151.822761,70.04342981,
Mount Hood,tds,TDS,3,0.765026544,151.8810311,67.1965406,
Mount Hood,fi_best,fi,1,0.339818473,0.176786809,0.137672123,
Mount Hood,fi_best,fi,2,0.380355747,0.176335354,0.138655639,
Mount Hood,fi_best,fi,3,0.444350343,0.174157027,0.137403314,
Glacier National Park,elevation_m,Elevation,1,0.116299928,454.1846682,368.2616985,
Glacier National Park,elevation_m,Elevation,2,0.067873005,466.922289,394.3430404,
